array_index	run_key	AM_ID	workload	BASE_DEADLINE	DEADLINE_RATIO	actual_deadline	SEED	VARIANT
0	AM500__ratio1.00__seed1001__proposed	AM500	AM500	4300	1.00	4300	1001	proposed
1	AM500__ratio1.00__seed1002__proposed	AM500	AM500	4300	1.00	4300	1002	proposed
2	AM500__ratio1.00__seed1003__proposed	AM500	AM500	4300	1.00	4300	1003	proposed
3	AM500__ratio1.00__seed1004__proposed	AM500	AM500	4300	1.00	4300	1004	proposed
4	AM500__ratio1.00__seed1005__proposed	AM500	AM500	4300	1.00	4300	1005	proposed
5	AM500__ratio1.00__seed1006__proposed	AM500	AM500	4300	1.00	4300	1006	proposed
6	AM500__ratio1.00__seed1007__proposed	AM500	AM500	4300	1.00	4300	1007	proposed
7	AM500__ratio1.00__seed1008__proposed	AM500	AM500	4300	1.00	4300	1008	proposed
8	AM500__ratio1.00__seed1009__proposed	AM500	AM500	4300	1.00	4300	1009	proposed
9	AM500__ratio1.00__seed1010__proposed	AM500	AM500	4300	1.00	4300	1010	proposed
10	AM500__ratio0.90__seed1001__proposed	AM500	AM500	4300	0.90	3870	1001	proposed
11	AM500__ratio0.90__seed1002__proposed	AM500	AM500	4300	0.90	3870	1002	proposed
12	AM500__ratio0.90__seed1003__proposed	AM500	AM500	4300	0.90	3870	1003	proposed
13	AM500__ratio0.90__seed1004__proposed	AM500	AM500	4300	0.90	3870	1004	proposed
14	AM500__ratio0.90__seed1005__proposed	AM500	AM500	4300	0.90	3870	1005	proposed
15	AM500__ratio0.90__seed1006__proposed	AM500	AM500	4300	0.90	3870	1006	proposed
16	AM500__ratio0.90__seed1007__proposed	AM500	AM500	4300	0.90	3870	1007	proposed
17	AM500__ratio0.90__seed1008__proposed	AM500	AM500	4300	0.90	3870	1008	proposed
18	AM500__ratio0.90__seed1009__proposed	AM500	AM500	4300	0.90	3870	1009	proposed
19	AM500__ratio0.90__seed1010__proposed	AM500	AM500	4300	0.90	3870	1010	proposed
20	AM500__ratio0.80__seed1001__proposed	AM500	AM500	4300	0.80	3440	1001	proposed
21	AM500__ratio0.80__seed1002__proposed	AM500	AM500	4300	0.80	3440	1002	proposed
22	AM500__ratio0.80__seed1003__proposed	AM500	AM500	4300	0.80	3440	1003	proposed
23	AM500__ratio0.80__seed1004__proposed	AM500	AM500	4300	0.80	3440	1004	proposed
24	AM500__ratio0.80__seed1005__proposed	AM500	AM500	4300	0.80	3440	1005	proposed
25	AM500__ratio0.80__seed1006__proposed	AM500	AM500	4300	0.80	3440	1006	proposed
26	AM500__ratio0.80__seed1007__proposed	AM500	AM500	4300	0.80	3440	1007	proposed
27	AM500__ratio0.80__seed1008__proposed	AM500	AM500	4300	0.80	3440	1008	proposed
28	AM500__ratio0.80__seed1009__proposed	AM500	AM500	4300	0.80	3440	1009	proposed
29	AM500__ratio0.80__seed1010__proposed	AM500	AM500	4300	0.80	3440	1010	proposed
30	AM500__ratio0.70__seed1001__proposed	AM500	AM500	4300	0.70	3010	1001	proposed
31	AM500__ratio0.70__seed1002__proposed	AM500	AM500	4300	0.70	3010	1002	proposed
32	AM500__ratio0.70__seed1003__proposed	AM500	AM500	4300	0.70	3010	1003	proposed
33	AM500__ratio0.70__seed1004__proposed	AM500	AM500	4300	0.70	3010	1004	proposed
34	AM500__ratio0.70__seed1005__proposed	AM500	AM500	4300	0.70	3010	1005	proposed
35	AM500__ratio0.70__seed1006__proposed	AM500	AM500	4300	0.70	3010	1006	proposed
36	AM500__ratio0.70__seed1007__proposed	AM500	AM500	4300	0.70	3010	1007	proposed
37	AM500__ratio0.70__seed1008__proposed	AM500	AM500	4300	0.70	3010	1008	proposed
38	AM500__ratio0.70__seed1009__proposed	AM500	AM500	4300	0.70	3010	1009	proposed
39	AM500__ratio0.70__seed1010__proposed	AM500	AM500	4300	0.70	3010	1010	proposed
