run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,1,1421.8582476289594,2896.2858393479837,2896.2858393479837,16,32,2432,92,92,92,1685.0,92.0,False,False,False,,,,2432,,,620,1988,1368,550,129,0,550,243,0,620,937,317,117.09765625
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,2,1413.6780034010299,4309.995559292962,4309.995559292962,16,48,2741,401,401,401,1612.0,401.0,False,False,False,,,,2432,,,657,1988,1331,517,129,0,517,243,0,657,938,281,117.12890625
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,3,1415.3683983889641,5725.373106963001,5725.373106963001,16,64,2317,0,-23,0,1534.0,0.0,True,False,False,3,,,2317,,,696,1987,1291,486,129,0,486,243,0,696,939,243,117.12890625
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,4,1404.30120897101,7129.684899649001,7129.684899649001,16,80,2510,170,170,170,1447.0,170.0,False,False,False,3,,,2317,,,738,1984,1246,457,129,0,457,243,0,738,939,201,117.375
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,5,1409.971642814984,8539.665784717014,8539.665784717014,16,96,2613,273,273,273,1363.0,273.0,False,False,False,3,,,2317,,,782,1988,1206,430,129,0,430,243,0,782,939,157,117.6328125
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,6,1400.712693784968,9940.387358355976,9940.387358355976,16,112,2443,103,103,103,1268.0,103.0,False,False,False,3,,,2317,,,829,1991,1162,404,129,0,404,244,0,829,935,106,117.6328125
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,7,1368.2767565249815,11308.672858442005,11308.672858442005,16,128,2445,105,105,105,1169.0,105.0,False,False,False,3,,,2317,,,879,1990,1111,380,129,0,380,243,0,876,934,58,117.890625
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,8,1359.6691247579874,12668.347747599008,12668.347747599008,16,144,2395,55,55,55,1087.0,55.0,False,False,False,3,,,2317,,,932,1983,1051,357,129,0,357,243,0,904,940,36,118.1484375
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,9,1369.1788366470137,14037.532277892984,14037.532277892984,16,160,2544,204,204,204,1010.0,204.0,False,False,False,3,,,2317,,,988,1992,1004,336,129,0,336,243,0,928,934,6,118.40625
AM100__ratio0.90__seed1006__proposed,AM100,100T,2600,0.9,2340,1006,proposed,12037011,12036995,15,1,0,False,,10,1384.3196344270254,15421.858127209009,15421.858127209009,16,176,2320,0,-20,0,938.0,0.0,True,False,False,3,,,2317,,,1047,1983,936,316,129,0,317,243,0,939,941,2,118.40625
