run_id,am_id,am_size,base_deadline,deadline_ratio,actual_deadline_value,seed,variant,slurm_job_id,slurm_array_job_id,slurm_array_task_id,attempt_count,interruption_count,resumed,resume_generation,generation,elapsed_generation_s,cumulative_runtime_s,attempt_runtime_s,evaluated_individuals_this_generation,total_evaluated_individuals,global_makespan,global_lateness,global_lateness_signed,global_lateness_clipped,fitness_vsum,fitness_lateness,deadline_feasible,partition_feasible,fully_feasible,first_deadline_feasible_generation,first_partition_feasible_generation,first_fully_feasible_generation,best_global_makespan_so_far,best_feasible_makespan_so_far,best_feasible_generation,P_FE_budget,P_FE_makespan,P_FE_violation,P_C1_budget,P_C1_makespan,P_C1_violation,P_C2_budget,P_C2_makespan,P_C2_violation,P_C3_budget,P_C3_makespan,P_C3_violation,peak_memory_mb
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,1,2610.8864511359716,5211.59817732597,5211.59817732597,16,32,4411,541,541,541,1309.0,541.0,False,False,False,,,,4411,,,1025,2334,1309,953,873,0,909,409,0,909,419,0,200.55078125
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,2,2598.818058111996,7810.443931741,7810.443931741,16,48,4124,254,254,254,1199.0,254.0,False,False,False,,,,4124,,,1085,2284,1199,942,873,0,854,408,0,854,419,0,201.68359375
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,3,2528.6952566840337,10339.15230491996,10339.15230491996,16,64,4364,494,494,494,1148.0,494.0,False,False,False,,,,4124,,,1145,2293,1148,934,870,0,803,412,0,803,419,0,201.94140625
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,4,2461.6361758320127,12800.80627386301,12800.80627386301,16,80,4484,614,614,614,1113.0,614.0,False,False,False,,,,4124,,,1145,2258,1113,932,873,0,803,407,0,803,420,0,202.19921875
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,5,2589.668602774036,15390.490134535998,15390.490134535998,16,96,4484,614,614,614,1113.0,614.0,False,False,False,,,,4124,,,1145,2258,1113,932,873,0,803,407,0,803,420,0,202.45703125
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,6,2588.470145017025,17978.974166336993,17978.974166336993,16,112,5023,1153,1153,1153,1029.0,1153.0,False,False,False,,,,4124,,,1325,2354,1029,915,875,0,667,409,0,667,420,0,202.71484375
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,7,2604.0937274919706,20583.082191718975,20583.082191718975,16,128,5023,1153,1153,1153,1029.0,1153.0,False,False,False,,,,4124,,,1325,2354,1029,915,875,0,667,409,0,667,420,0,202.71484375
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,8,2437.38042728405,23020.477623962972,23020.477623962972,16,144,4730,860,860,860,987.0,860.0,False,False,False,,,,4124,,,1385,2372,987,909,877,0,627,409,0,627,420,0,202.97265625
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,9,2558.293389476021,25578.785562861012,25578.785562861012,16,160,4495,625,625,625,904.0,625.0,False,False,False,,,,4124,,,1385,2289,904,915,875,0,627,409,0,627,420,0,203.23046875
AM500__ratio0.90__seed1003__proposed,AM500,500T,4300,0.9,3870,1003,proposed,12037163,12037076,12,1,0,False,,10,2536.118509662978,28114.919489750988,28114.919489750988,16,176,4430,560,560,560,858.0,560.0,False,False,False,,,,4124,,,1505,2363,858,903,869,0,554,408,0,555,420,0,203.48828125
